x,y,z
255803.6491,94957.02741,15
255428.9486,94757.02213,15
255059.9804,94547.95579,15
254698.8975,94326.36197,15
254347.8533,94088.77424,15
253988.0564,93817.53093,15
253640.9365,93530.62209,15
253303.7277,93231.43346,15
252973.6643,92923.35082,15
252647.9802,92609.75991,15
252323.9096,92294.04649,15
251998.6865,91979.59633,15
251669.5452,91669.79517,15
251333.7196,91368.02877,15
250988.4438,91077.68289,15
250428.4506,90633.09501,15
249861.6708,90197.28971,15
249289.1027,89768.99579,15
248711.7441,89346.94203,15
248130.5933,88929.85721,15
247546.6482,88516.47012,15
246960.9069,88105.50954,15
246374.3673,87695.70425,15
245788.0277,87285.78305,15
245202.8859,86874.47471,15
244664.6865,86498.91149,15
244123.059,86128.22782,15
243579.0363,85760.95948,15
243033.6512,85395.64228,15
242487.9366,85030.81199,15
241942.9256,84665.00442,15
241399.6508,84296.75535,15
240859.1453,83924.60058,15
240322.4418,83547.0759,15
239790.5734,83162.7171,15
239134.6227,82664.37692,15
238491.7954,82147.77838,15
237857.8293,81618.95115,15
237228.4621,81083.92488,15
236599.4315,80548.72921,15
235966.4753,80019.39381,15
235325.3312,79501.94832,15
234671.7369,79002.42239,15
234001.4302,78526.84568,15
233310.1487,78081.24785,15
233157.7194,77989.77235,15
233004.0598,77900.32288,15
232849.2491,77812.81809,15
232693.3664,77727.17664,15
232536.4908,77643.31716,15
232378.7014,77561.15832,15
232220.0773,77480.61877,15
232060.6978,77401.61714,15
231900.6418,77324.07211,15
231739.9885,77247.90231,15
226391.0311,60703.14123,25
226395.7424,60706.2665,25
226400.4508,60709.39601,25
226405.1564,60712.52979,25
226409.8591,60715.66786,25
226414.559,60718.81024,25
226419.256,60721.95696,25
226423.95,60725.10804,25
226428.6411,60728.2635,25
226433.3292,60731.42338,25
226438.0143,60734.58769,25
226627.9809,60873.46549,25
226808.8929,61024.08249,25
226983.0473,61183.45388,25
227152.7413,61348.59481,25
227320.272,61516.52046,25
227487.9365,61684.24599,25
227658.0319,61848.78658,25
227832.8554,62007.15739,25
228014.704,62156.3736,25
228205.875,62293.45037,25
228485.0193,62470.99014,25
228770.1178,62639.05191,25
229060.5502,62798.28552,25
229355.6963,62949.34083,25
229654.9358,63092.86772,25
229957.6483,63229.51603,25
230263.2135,63359.93564,25
230571.0112,63484.77641,25
230880.421,63604.68819,25
231190.8227,63720.32085,25
231517.6377,63829.60441,25
231849.4425,63923.09987,25
232184.9378,64004.89245,25
232522.8241,64079.06738,25
232861.802,64149.70988,25
233200.5723,64220.90518,25
233537.8355,64296.7385,25
233872.2922,64381.29507,25
234202.6431,64478.66011,25
234527.5888,64592.91884,25
234754.8025,64695.06034,25
234974.3828,64818.20749,25
235188.6187,64955.53408,25
235399.7991,65100.21386,25
235610.2132,65245.42063,25
235822.1499,65384.32817,25
236037.8981,65510.11024,25
236259.747,65615.94062,25
236489.9854,65694.9931,25
236730.9025,65740.44145,25
237188.7118,65761.75913,25
237644.3838,65732.45244,25
238097.6518,65659.56778,25
238548.2493,65550.15153,25
238995.9097,65411.25007,25
239440.3665,65249.90979,25
239881.353,65073.17708,25
240318.6028,64888.09831,25
240751.8493,64701.71987,25
241180.8258,64521.08814,25
241487.8727,64386.45413,25
241788.8253,64239.24418,25
242084.7592,64081.67759,25
242376.7497,63915.97363,25
242665.8724,63744.35159,25
242953.2026,63569.03076,25
243239.8159,63392.23042,25
243526.7877,63216.16985,25
243815.1935,63043.06835,25
244106.1086,62875.14519,25
-1939.151073,-58706.961,30
-2010.319641,-58666.1816,30
